Iteration,p1,p2,m1,m2,sig1,sig2
1,0.084186852592974,0.915813147407026,2.4929189289279052,1.8163785315208223,1.794370864327388,1.6773836157818671
2,0.08492260324141623,0.9150773967585838,2.5620607007225793,1.8094179571342404,1.859809024518514,1.6677995776536656
3,0.08599052606026694,0.9140094739397331,2.64924744915025,1.8003359957763136,1.897252525209334,1.6594343297766954
4,0.08734057364951948,0.9126594263504805,2.7456588252363163,1.7898537770224157,1.9159112742547557,1.6516451990105272
5,0.08897515035002104,0.911024849649979,2.8459823442616194,1.778340768507904,1.9214705085439774,1.6439805496692401
6,0.09091080962241072,0.9090891903775893,2.947381456752494,1.7659273927394072,1.9171418726226983,1.6361435524853185
7,0.09316969815692008,0.9068303018430799,3.0486085097171554,1.7525841387869439,1.904657053192553,1.6279121980003433
8,0.09577931534066372,0.9042206846593362,3.14945116233503,1.7381620315347528,1.8848519648195785,1.6190757033659462
9,0.09877463392953939,0.9012253660704606,3.2504052791137448,1.7224068530512933,1.8579299493334194,1.6093908657879608
10,0.10220132546202577,0.8977986745379742,3.35247609716123,1.704955555106629,1.823535107819171,1.598547372538725
